"","president_name","year","sentiment","count"
"149","George Bush",2006,"surprise",98
"150","George Bush",2006,"trust",308
"151","George Bush",2007,"anger",115
"152","George Bush",2007,"anticipation",169
"153","George Bush",2007,"disgust",65
"154","George Bush",2007,"fear",191
"155","George Bush",2007,"joy",145
"156","George Bush",2007,"negative",230
"157","George Bush",2007,"positive",399
"158","George Bush",2007,"sadness",108
"159","George Bush",2007,"surprise",69
"160","George Bush",2007,"trust",276
"161","George Bush",2008,"anger",103
"162","George Bush",2008,"anticipation",179
"163","George Bush",2008,"disgust",65
"164","George Bush",2008,"fear",138
"165","George Bush",2008,"joy",164
"166","George Bush",2008,"negative",203
"167","George Bush",2008,"positive",468
"168","George Bush",2008,"sadness",74
"169","George Bush",2008,"surprise",79
"170","George Bush",2008,"trust",352
